[2020-10-19 22:10:57,319] {taskinstance.py:670} INFO - Dependencies all met for <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [queued]>
[2020-10-19 22:10:57,325] {taskinstance.py:670} INFO - Dependencies all met for <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [queued]>
[2020-10-19 22:10:57,325] {taskinstance.py:880} INFO - 
--------------------------------------------------------------------------------
[2020-10-19 22:10:57,325] {taskinstance.py:881} INFO - Starting attempt 1 of 2
[2020-10-19 22:10:57,325] {taskinstance.py:882} INFO - 
--------------------------------------------------------------------------------
[2020-10-19 22:10:57,331] {taskinstance.py:901} INFO - Executing <Task(PythonOperator): generate_log> on 2020-10-19T16:30:15.912664+00:00
[2020-10-19 22:10:57,332] {standard_task_runner.py:54} INFO - Started process 16369 to run task
[2020-10-19 22:10:57,354] {standard_task_runner.py:77} INFO - Running: ['airflow', 'run', 'tutorial', 'generate_log', '2020-10-19T16:30:15.912664+00:00', '--job_id', '276', '--pool', 'default_pool', '--raw', '-sd', 'DAGS_FOLDER/tutorial.py', '--cfg_path', '/var/folders/4j/yctg8njd19g2873bfk914jqw0000gn/T/tmp06x9ao72']
[2020-10-19 22:10:57,355] {standard_task_runner.py:78} INFO - Job 276: Subtask generate_log
[2020-10-19 22:10:57,384] {logging_mixin.py:112} INFO - Running %s on host %s <TaskInstance: tutorial.generate_log 2020-10-19T16:30:15.912664+00:00 [running]> Arpitas-MacBook-Pro.local
[2020-10-19 22:10:57,605] {logging_mixin.py:112} INFO - /Users/arpitasaha/airflow/logFile.log
[2020-10-19 22:10:57,636] {logging_mixin.py:112} INFO - 160.123.63.170 - "Annette West" [19/Oct/2020:22:10:57 +0530] "GET /explore HTTP/1.0" 200 -792 "http://www.holmes.info/categories/privacy.htm" "Opera/9.63.(X11; Linux x86_64; mt-MT) Presto/2.9.174 Version/12.00"
[2020-10-19 22:10:57,639] {logging_mixin.py:112} INFO - 52.224.193.176 - "Nathan Burton" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 -5817 "http://lara.com/posts/main/terms/" "Mozilla/5.0 (Android 2.0; Mobile; rv:41.0) Gecko/41.0 Firefox/41.0"
[2020-10-19 22:10:57,642] {logging_mixin.py:112} INFO - 175.194.181.130 - "Jose Simmons" [19/Oct/2020:22:10:57 +0530] "GET /wp-content HTTP/1.0" 200 -4348 "http://www.arroyo.org/" "Mozilla/5.0 (Android 4.0.3; Mobile; rv:37.0) Gecko/37.0 Firefox/37.0"
[2020-10-19 22:10:57,644] {logging_mixin.py:112} INFO - 195.5.213.87 - "Anthony Reed" [19/Oct/2020:22:10:57 +0530] "PUT /explore HTTP/1.0" 200 -6466 "http://www.benson-kelly.com/" "Mozilla/5.0 (Windows NT 6.0; mk-MK; rv:1.9.2.20) Gecko/2015-10-01 22:47:29 Firefox/3.8"
[2020-10-19 22:10:57,647] {logging_mixin.py:112} INFO - 126.179.154.187 - "Jason Hayes" [19/Oct/2020:22:10:57 +0530] "GET /wp-admin HTTP/1.0" 200 3255 "http://murphy.org/app/list/blog/terms/" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_6; rv:1.9.4.20) Gecko/2018-04-02 11:49:25 Firefox/12.0"
[2020-10-19 22:10:57,648] {logging_mixin.py:112} INFO - 88.245.53.41 - "Joshua Johnson" [19/Oct/2020:22:10:57 +0530] "POST /app/main/posts HTTP/1.0" 200 -2087 "http://www.thompson.com/wp-content/list/author/" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_3) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/23.0.869.0 Safari/532.0"
[2020-10-19 22:10:57,650] {logging_mixin.py:112} INFO - 15.59.138.8 - "Catherine Murray" [19/Oct/2020:22:10:57 +0530] "GET /list HTTP/1.0" 200 2507 "https://wood-jones.biz/category/" "Mozilla/5.0 (Android 4.2; Mobile; rv:38.0) Gecko/38.0 Firefox/38.0"
[2020-10-19 22:10:57,651] {logging_mixin.py:112} INFO - 123.24.218.99 - "Catherine Logan" [19/Oct/2020:22:10:57 +0530] "DELETE /list HTTP/1.0" 200 -6116 "http://www.hunt-cortez.com/index/" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/41.0.869.0 Safari/533.0"
[2020-10-19 22:10:57,653] {logging_mixin.py:112} INFO - 205.122.171.220 - "Destiny Henry" [19/Oct/2020:22:10:57 +0530] "GET /list HTTP/1.0" 200 4314 "http://peck-holland.com/category.jsp" "Mozilla/5.0 (Windows NT 4.0; as-IN; rv:1.9.0.20) Gecko/2016-08-21 15:30:45 Firefox/7.0"
[2020-10-19 22:10:57,655] {logging_mixin.py:112} INFO - 146.7.102.168 - "James Jones" [19/Oct/2020:22:10:57 +0530] "DELETE /search/tag/list HTTP/1.0" 200 3239 "https://www.mendez.com/" "Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2018-03-10 22:32:11 Firefox/8.0"
[2020-10-19 22:10:57,656] {logging_mixin.py:112} INFO - 22.7.196.20 - "Christina Mills" [19/Oct/2020:22:10:57 +0530] "GET /search/tag/list HTTP/1.0" 200 -1106 "http://moody-holmes.com/" "Opera/9.33.(Windows NT 5.1; ru-RU) Presto/2.9.162 Version/12.00"
[2020-10-19 22:10:57,657] {logging_mixin.py:112} INFO - 55.247.238.199 - "Lacey Meadows" [19/Oct/2020:22:10:57 +0530] "GET /apps/cart.jsp?appID= HTTP/1.0" 200 10612 "https://chan.com/" "Opera/8.80.(Windows NT 6.1; fa-IR) Presto/2.9.161 Version/12.00"
